distribution,MC,B,n,z,x_F,mu,gamma,frac_theta,frac_gamma,theta_hat,gamma_hat,s_hat,mean_rt,coverage_theta_t,mean_cl_theta_t,mean_cu_theta_t,coverage_gamma_t,mean_cl_gamma_t,mean_cu_gamma_t,coverage_s_t,mean_cl_s_t,mean_cu_s_t,mean_dL,coverage_theta_d,mean_cl_theta_d,mean_cu_theta_d,coverage_gamma_d,mean_cl_gamma_d,mean_cu_gamma_d,coverage_s_d,mean_cl_s_d,mean_cu_s_d
ARC,1000,199,5000,0.2,45,20,-0.3,0.01,0.05,0.79012,-0.325338834464144,0.003070966669811709,1.0,0.727,0.600017,0.8802470000000001,0.91,-0.41537464112576106,-0.20655801725510747,0.82,0.0014542909364364206,0.0058709983099528,1.907,0.826,0.6130800000000001,0.907135,0.902,-0.40651713244228516,-0.20519821220265794,0.886,0.00058064974704939,0.005709674727721593
ARC,1000,199,5000,0.2,45,20,-0.3,0.011,0.05,0.7858363636363637,-0.3271290721901165,0.0031596634715163477,1.0,0.82,0.6103336363636365,0.8677918181818182,0.921,-0.41874100445666546,-0.20718407548604081,0.873,0.0016549734259422096,0.005790967866019296,1.95,0.902,0.6235136363636365,0.8932572727272727,0.906,-0.4080759321294419,-0.20585717904444498,0.937,0.0007621710042894425,0.005646785030810257
ARC,1000,199,5000,0.2,45,20,-0.3,0.011999999999999999,0.05,0.7846101694915254,-0.32609133780612165,0.003145541509425988,1.0,0.819,0.6198016949152543,0.8619254237288136,0.912,-0.4174613529163157,-0.20607799762620654,0.9,0.001710806661590464,0.005606122433103913,1.973,0.904,0.6339194915254238,0.8847237288135593,0.896,-0.4068842501098952,-0.20303650471324436,0.952,0.0008971763377563909,0.0054571340913972975
ARC,1000,199,5000,0.2,45,20,-0.3,0.012999999999999998,0.05,0.780296875,-0.324589272209817,0.0032266907399071095,1.0,0.803,0.63392265625,0.85333125,0.92,-0.4158513004033068,-0.2050144274424627,0.897,0.0018425854432027966,0.0054588948830376375,1.994,0.91,0.6469781250000001,0.8769124999999999,0.89,-0.40576547106736655,-0.20211351757780585,0.96,0.000959065800167043,0.005344555252766197
ARC,1000,199,5000,0.2,45,20,-0.3,0.013999999999999997,0.05,0.7802608695652173,-0.3233311686068475,0.003240552789298322,1.0,0.791,0.6314884057971016,0.8512855072463767,0.925,-0.4147525082170895,-0.20388169321891356,0.878,0.0018807014991593545,0.005521179257393568,1.983,0.864,0.6470246376811596,0.8732963768115942,0.902,-0.40513860868105966,-0.20113662026685894,0.957,0.0010465714499443863,0.005366761708578217
ARC,1000,199,5000,0.2,45,20,-0.3,0.014999999999999996,0.05,0.7787297297297296,-0.3276470643588638,0.003251891606477141,1.0,0.814,0.6479986486486486,0.8474587837837838,0.912,-0.42119045992850646,-0.21018715512574893,0.883,0.0019244435717993284,0.0052826557422296135,1.993,0.892,0.6612304054054055,0.8681202702702704,0.886,-0.4107803125539322,-0.20760994100398897,0.966,0.0010833431939979668,0.005181010578194874
ARC,1000,199,5000,0.2,45,20,-0.3,0.015999999999999993,0.05,0.7774303797468356,-0.3243212903321845,0.003267260682551777,1.0,0.801,0.6624974683544305,0.8451006329113925,0.941,-0.4172460244760716,-0.20677525932658294,0.897,0.0019487763505020603,0.005092845848292057,1.997,0.908,0.6721924050632913,0.8647512658227848,0.913,-0.4058592261076408,-0.20310476928305218,0.973,0.0011059506149869258,0.00505181717307679
ARC,1000,199,5000,0.2,45,20,-0.3,0.016999999999999994,0.05,0.77725,-0.3274661134092565,0.003264988766756815,1.0,0.796,0.6588678571428572,0.8416672619047619,0.916,-0.4195655876746293,-0.20852527252162933,0.877,0.001997340715209169,0.005123948716434412,1.997,0.894,0.6723761904761906,0.8606613095238095,0.889,-0.4092742177892322,-0.2070340575101569,0.968,0.001161071060347407,0.005035259781973274
ARC,1000,199,5000,0.2,45,20,-0.3,0.017999999999999995,0.05,0.7748651685393259,-0.32473059074815047,0.0032928034067873165,1.0,0.784,0.6707522471910113,0.8381662921348314,0.923,-0.41772280873532014,-0.20580231415011313,0.886,0.002032570267893718,0.004972947088909604,2.0,0.891,0.6821370786516855,0.857585393258427,0.905,-0.40714533383784934,-0.20303230064090233,0.962,0.0011851649209280697,0.004939109039542687
ARC,1000,199,5000,0.2,45,20,-0.3,0.018999999999999993,0.05,0.7741595744680851,-0.32402957856303555,0.003328261421175478,1.0,0.767,0.6772026595744682,0.8382010638297872,0.923,-0.4173795023863955,-0.20568383414119232,0.86,0.0020508380379213515,0.004922721683674214,1.999,0.865,0.6865643617021278,0.856238829787234,0.897,-0.40707291846960314,-0.20183706302645393,0.949,0.0012106159522605254,0.0049244717739037
ARC,1000,199,5000,0.2,45,20,-0.3,0.01999999999999999,0.05,0.7737070707070707,-0.3257711763300848,0.0033217095361352763,1.0,0.777,0.6836858585858586,0.8364156565656565,0.93,-0.4189097406106332,-0.20845402646355568,0.862,0.002066945042443676,0.004831435123166296,2.0,0.886,0.6919000000000001,0.8542207070707071,0.908,-0.4092483304209336,-0.20406323124756787,0.943,0.0012332661517416503,0.004857073628772527
ARC,1000,199,5000,0.2,45,20,-0.3,0.02099999999999999,0.05,0.7738461538461539,-0.32681079236671656,0.0033110476584913935,1.0,0.762,0.6855894230769232,0.8344076923076923,0.939,-0.4205835946968575,-0.20846002256294638,0.856,0.002084685323007838,0.004796339847314887,2.0,0.866,0.6941586538461539,0.8503408653846153,0.91,-0.41071414002559054,-0.20510129899894386,0.937,0.0012996547182550068,0.004824453187398392
