date,city,tappmax
1940-06-01,Athens,28.923332
1940-06-02,Athens,27.170582
1940-06-03,Athens,23.22681
1940-06-04,Athens,24.064623
1940-06-05,Athens,25.184908
1940-06-06,Athens,24.78643
1940-06-07,Athens,23.405373
1940-06-08,Athens,23.79034
1940-06-09,Athens,23.923365
1940-06-10,Athens,27.146507
1940-06-11,Athens,27.604202
1940-06-12,Athens,27.73571
1940-06-13,Athens,28.152273
1940-06-14,Athens,28.29441
1940-06-15,Athens,31.307747
1940-06-16,Athens,31.245762
1940-06-17,Athens,29.376541
1940-06-18,Athens,31.223928
1940-06-19,Athens,32.70134
1940-06-20,Athens,30.567642
1940-06-21,Athens,32.515224
1940-06-22,Athens,31.780003
1940-06-23,Athens,32.043915
1940-06-24,Athens,31.576488
1940-06-25,Athens,33.230392
1940-06-26,Athens,30.662971
1940-06-27,Athens,30.227911
1940-06-28,Athens,30.138351
1940-06-29,Athens,27.585617
1940-06-30,Athens,27.382614
1940-07-01,Athens,28.758465
1940-07-02,Athens,28.62175
1940-07-03,Athens,27.76211
1940-07-04,Athens,31.0919
1940-07-05,Athens,32.216293
1940-07-06,Athens,31.516224
1940-07-07,Athens,31.670671
1940-07-08,Athens,32.995823
1940-07-09,Athens,32.71438
1940-07-10,Athens,32.01611
1940-07-11,Athens,28.38969
1940-07-12,Athens,31.672785
1940-07-13,Athens,33.753376
1940-07-14,Athens,33.52275
1940-07-15,Athens,32.339935
1940-07-16,Athens,34.594505
1940-07-17,Athens,37.515247
1940-07-18,Athens,33.34709
1940-07-19,Athens,34.12517
1940-07-20,Athens,33.147324
1940-07-21,Athens,31.864735
1940-07-22,Athens,31.728304
1940-07-23,Athens,34.23869
1940-07-24,Athens,34.19804
1940-07-25,Athens,34.79325
1940-07-26,Athens,34.905945
1940-07-27,Athens,34.63683
1940-07-28,Athens,34.29204
1940-07-29,Athens,34.06471
1940-07-30,Athens,33.811745
1940-07-31,Athens,30.34586
1940-08-01,Athens,27.762556
1940-08-02,Athens,28.532726
1940-08-03,Athens,29.172493
1940-08-04,Athens,26.280376
1940-08-05,Athens,25.71895
1940-08-06,Athens,28.929287
1940-08-07,Athens,29.760796
1940-08-08,Athens,30.768099
1940-08-09,Athens,29.959902
1940-08-10,Athens,30.587603
